catalog_year,main_category_english,author,title,price_clean_display,price_in_grosia,price_in_paras
1895,"Kindergartens, Primary Schools, Urban Schools and Girls' High Schools",Anonymous,"Αὐγὰ τοῦ Πάσχα, διήγημα",10 παρ.,0.25,10.0
1904,Religious Books,Ανώνυμος,"Βίοι ἁγίων [Ἀθανασίου τοῦ μεγάλου, Ἀλεξίου, Ἀναστασίας, Ἀναστασίου τοῦ Πέρσου, Ἀποστόλου τοῦ νέου, Βαρβάρας, Ἐλευθερίου, Ἑπτὰ παίδων, Εὐθυμίου τοῦ Μεγάλου, Εὐσταθίου, Εὐσταθίου τοῦ νέου, Ἡλιοῦ τοῦ προφήτου, Ἰγνατίου, Ἰωάννου τοῦ Δαμασκηνοῦ, Ἰωάννου τοῦ Καλυβίτου, Ἰωσὴφ τοῦ Παγκάλου, Κοσμᾶ καὶ Δαμιανοῦ τῶν Ἀναργύρων, Κυριακῆς, Κωνσταντίνου καὶ Ἑλένης, Μαρίας τῆς Αἰγυπτίας, Μαρίας τῆς ὁσίας, Μαρίνης, Ματθαίου τοῦ Εὐαγγελιστοῦ, Ματρώνης τῆς ὁσίας, Νικολάου τοῦ θαυματουργοῦ, Ξένης τῆς ὁσίας, Ὀνουφρίου τοῦ Αἰγυπτίου, Παντελεήμονος, Παρασκευῆς, Σαμψὼν τοῦ Ξενοδόχου, Τρύφωνος, Φωτεινῆς, Χαραλάμπους]",10 παρ.,0.25,10.0
1904,Religious Books,Ανώνυμος,Βίος καὶ Πολιτεία τοῦ ἁγίου Τρύφωνος,10 παρ.,0.25,10.0
1904,Religious Books,Ανώνυμος,Βίος καὶ Πολιτεία τοῦ ἁγίου Χαραλάμπους,10 παρ.,0.25,10.0
1904,Religious Books,Ανώνυμος,Βίος καὶ Πολιτεία τοῦ ἁγίου Ἀθανασίου,10 παρ.,0.25,10.0
1904,Religious Books,Ανώνυμος,Βίος καὶ Πολιτεία τοῦ ἁγίου Ἀναστασίου τοῦ Πέρσου,10 παρ.,0.25,10.0
1904,Religious Books,Ανώνυμος,Βίος καὶ Πολιτεία τῶν ἁγίων Κοσμᾶ καὶ Δαμιανοῦ,10 παρ.,0.25,10.0
1904,Religious Books,Ανώνυμος,Βίος καὶ Πολιτεία τῶν ἁγίων ἑπτὰ Παίδων τῶν ἐν Ἐφέσῳ κοιμηθέντων,10 παρ.,0.25,10.0
1904,Religious Books,Ν. ΓΕΩΡΓΙΑΔΗΣ,Βίος καὶ ἀκολουθία τοῦ ἁγίου ἐνδόξου καὶ μεγαλομάρτυρος Φανουρίου τοῦ Νεοφανοῦς,10 παρ.,0.25,10.0
1904,Religious Books,Ανώνυμος,Εὐχὴ τῆς Ὑπεραγίας Θεοτόκου,10 παρ.,0.25,10.0
1904,ST' Printed School Forms & Materials,,Κατάλογος προσκλήσεως,10 παρ.,0.25,10.0
1904,Religion,ΚΟΡΑΗΣ Α.,Κατήχησις Ἱερὰ Σύνοψις,10 παρ.,0.25,10.0
1904,Religion,ΚΟΡΑΗ Α.,Κατήχησις Ἱερᾶς Σύνοψις,10 παρ.,0.25,10.0
1895,"Kindergartens, Primary Schools, Urban Schools and Girls' High Schools",Ἀ. Κοραῆς,Κατηχήσεως ἱερᾶς σύνοψις,10 παρ.,0.25,10.0
1904,Religious Books,—,Λόγοι πολὺ ὠφέλιμοι ἐκ τῶν ἁγίων Πατέρων καὶ Ἀσκητῶν περὶ ψυχικῆς σωτηρίας,10 παρ.,0.25,10.0
1904,Religious Books,—,Μαρτύριον τοῦ ἁγίου μεγαλομάρτυρος Εὐσταθίου τοῦ νέου Ἰὼβ καὶ τῆς συζύγου αὐτοῦ Θεοπίστης,10 παρ.,0.25,10.0
1904,Turkish,ΜΙΧΡΗ,Νουκτιλέ Μεδζμουασί,10 παρ.,0.25,10.0
1895,"Kindergartens, Primary Schools, Urban Schools and Girls' High Schools",,"Περιστερά, διήγημα",10 παρ.,0.25,10.0
1904,Religion,ΚΟΚΚΩΝΗ Ι. Π.,Προσευχαί,10 παρ.,0.25,10.0
1895,"Kindergartens, Primary Schools, Urban Schools and Girls' High Schools",Anonymos,Προσευχαὶ διὰ τὰ παιδιά,10 παρ.,0.25,10.0
1904,Turkish,ΜΙΧΡΗ,Ρεκά Τιχζατή Μεχλεπή Α'-Δ',10 παρ.,0.25,10.0
1904,Gifts and Awards,,Συμπεριφοράς (περὶ) τοῦ πεπολιτισμένου ἀνθρώπου,10 παρ.,0.25,10.0
1895,"Kindergartens, Primary Schools, Urban Schools and Girls' High Schools",Anonymous,Συμπεριφορᾶς (περί),10 παρ.,0.25,10.0
1904,Religious Books,Ανώνυμος,Ἀκολουθία τῆς Κυριακῆς τοῦ Πάσχα καὶ τῆς Δευτέρας Ἀναστάσεως,10 παρ.,0.25,10.0
1904,Greek Language,ΚΩΝΣΤΑΝΤΙΝΟΥ Γ.,Ἀλφαβητάριον,10 παρ.,0.25,10.0
1904,2. Greek Language,ΚΟΚΚΙΝΗ Ι. Π.,Ἀλφαβητάριον,10 παρ.,0.25,10.0
1904,2. Greek Language,Β. Κ.,"Ἀλφαβητάριον, μικρόν",10 παρ.,0.25,10.0
1904,Religious Books,Ανώνυμος,Ἀποκάλυψις τῆς Ὑπεραγίας Θεοτόκου,10 παρ.,0.25,10.0
1904,Religious Books,Ανώνυμος,Ἀποκάλυψις τῆς Ὑπεραγίας Θεοτόκου,10 παρ.,0.25,10.0
1904,Religious Books,Ανώνυμος,"Ἄθλησις τῆς ἁγίας Μεγαλομάρτυρος Μαρίνης, ἑορταζομένης τὴν 17 Ἰουλίου",10 παρ.,0.25,10.0
1904,Religious Books,Ανώνυμος,Ἐπιστολὴ τοῦ Κυρίου ἡμῶν Ἰησοῦ Χριστοῦ,10 παρ.,0.25,10.0
1895,"Kindergartens, Primary Schools, Urban Schools and Girls' High Schools",Ἀ. Κοραῆ,Ἱστορίας ἱερᾶς σύνοψις,10 παρ.,0.25,10.0
1895,"Kindergartens, Primary Schools, Urban Schools and Girls' High Schools",Ι. Π. Κοκκώνης,᾿Αλφαβητάριον,10 παρ.,0.25,10.0
1904,Religious Books,Ανώνυμος,"Βίοι ἁγίων [Αἰκατερίνης, Ἀνδρέου τοῦ ἀποστόλου, Ἀντωνίου τοῦ μεγάλου, Βασιλείου τοῦ μεγάλου, Γεωργίου τοῦ τροπαιφόρου, ΔημΗτρίου τοῦ μεγαλομάρτυρος, Εὐσταθίου τοῦ Πλακίδα καὶ Ἐλευθερίου, Θεοδώρων Τήρωνος καὶ Στρατηλάτου, Ἰωάννου τοῦ Καλυβίτου, Νικολάου τοῦ θαυματουργοῦ, Πέτρου καὶ Παύλου, Χαραλάμπους καὶ Τρύφωνος]",20 παρ.,0.5,20.0
1904,Religious Books,Ανώνυμος,Βίος καὶ Πολιτεία τοῦ ἁγίου Βασιλείου τοῦ Μεγάλου,20 παρ.,0.5,20.0
1904,Religious Books,Ανώνυμος,Βίος καὶ Πολιτεία τοῦ ἁγίου ΔημΗτρίου τοῦ Μυροβλήτου,20 παρ.,0.5,20.0
1904,Religious Books,Ανώνυμος,Βίος καὶ Πολιτεία τοῦ ἁγίου μεγαλομάρτυρος Γεωργίου,20 παρ.,0.5,20.0
1904,Religious Books,Ανώνυμος,Βίος καὶ Πολιτεία τοῦ ἁγίου Ἀνδρέου τοῦ Πρωτοκλήτου,20 παρ.,0.5,20.0
1904,Religious Books,Ανώνυμος,Βίος καὶ Πολιτεία τοῦ ἁγίου Ἀντωνίου τοῦ Μεγάλου,20 παρ.,0.5,20.0
1904,Religious Books,Ανώνυμος,Βίος καὶ Πολιτεία τῆς ἁγίας Αἰκατερίνης,20 παρ.,0.5,20.0
1904,Poems,ΔΡΙΜΥΤΙΚΟΥ Ν.,Βοσκοπούλα ἡ εὔμορφη,20 παρ.,0.5,20.0
1904,Religious Books,Σολομῶν,Διήγησις Σολομῶντος,20 παρ.,0.5,20.0
1904,Greek Language,ΑΒΡΑΜΙΔΟΥ,"Διὰ τοῦ Πάσχα, διήγημα",20 παρ.,0.5,20.0
1904,Religious Books,—,Εἴκοσι τέσσαρες Οἶκοι τῆς Θεοτόκου,20 παρ.,0.5,20.0
1895,Other Printed Materials for General School Use,,Εὔσημα διάφορα εἰς φύλλα,20 παρ.,0.5,20.0
1904,Calligraphy,ΑΡΒΑΝΙΤΑΚΗ Ι. Γ.,Καλλιγραφία 'Ελληνική. Τεῦχος Α' (ἐν σχήματι βιβλίου),20 παρ.,0.5,20.0
1895,"Kindergartens, Primary Schools, Urban Schools and Girls' High Schools",Η. Δαζαρίδου,Καλλιγραφία ἑλληνικὴ μικρά,20 παρ.,0.5,20.0
1904,Calligraphy,ΑΡΒΑΝΙΤΑΚΗ Ι. Γ.,Καλλιγραφίας 'Ελληνικῆς Τετράδια μεθ' ὑποδειγμάτων. Τεῦχος Α' Παρθέματα τρεις γραφῆς,20 παρ.,0.5,20.0
1904,Calligraphy,ΑΡΒΑΝΙΤΑΚΗ Ι. Γ.,Καλλιγραφίας 'Ελληνικῆς Τετράδια μεθ' ὑποδειγμάτων. Τεῦχος Β' Ἐξάσκησις εἰς τὴν συνήθη γραφὴν ἐπίδοτου γραμμάτων,20 παρ.,0.5,20.0
1904,Calligraphy,ΑΡΒΑΝΙΤΑΚΗ Ι. Γ.,"Καλλιγραφίας 'Ελληνικῆς Τετράδια μεθ' ὑποδειγμάτων. Τεῦχος Γ' Γραφὴ λεπτή, συνήθης ἐπὶ μιᾶς γραμμῆς...",20 παρ.,0.5,20.0
