catalog_year,main_category_english,author,title,price_clean_display,price_in_grosia,price_in_paras
1895,Dictionaries,Στ. Ἰ. Βούτυρας,"Λεξικὸν ἱστορίας καὶ γεωγραφίας, διαλαμβάνον ἱστορίαν, φυσικὴν καὶ πολιτικὴν χωρογραφίαν,τοὺς βίους τῶν μεγάλων ἀνδρῶν, τοὺς μύθους καὶ τὰς παραδόσεις πάντων τῶν ἐθνῶν ἀπὸ τῶν ἀρχαιοτάτων χρόνων μέχρι τοῦ νῦν, τὸ πρῶτον καὶ μόνον ἐν τῇ ἡμετέρᾳ γλώσσῃ",1200 γρ.,1200.0,48000.0
1904,Miscellaneous Subjects,ΒΟΥΤΥΡΑ ΣΤ. Ι.,"Λεξικὸν Ἱστορίας καὶ Γεωγραφίας, διαλαμβάνον ἱστορίαν, μυθολογίαν καὶ πολιτικὴν χωρογραφίαν ἁπάντων τῶν μεγάλων ἀνδρῶν, τοὺς μύθους καὶ τὰς παραδόσεις πάντων τῶν ἐθνῶν τῶν ἀρχαιοτάτων χρόνων μέχρι τοῦ νῦν. Τόμοι 9, μέγα 8ον, σελίδες διστήλοι 11,725, χρυσόδ.",600 γρ.,600.0,24000.0
1904,Various Subjects,ΒΟΥΤΥΡΑ ΣΤ. Ι.,"Λεξικὸν Ἱστορίας καὶ Γεωγραφίας, διαλαμβάνον ἱστορίαν, φυσικὴν καὶ πολιτικὴν χωρογραφίαν, τοὺς βίους τῶν μεγάλων ἀνδρῶν, τοὺς μύθους καὶ τὰς παραδόσεις πάντων τῶν ἐθνῶν ἀπὸ τῶν ἀρχαιοτάτων χρόνων μέχρι τοῦ νῦν",600 γρ.,600.0,24000.0
1904,Various Subjects,ΜΠΑΡΤ ΚΑΙ ΧΙΡΕΤ,Λεξικὸν Ἐγκυκλοπαιδικόν (Τὸ αὐτὸ δεδεμένον εἰς 6 τόμ.),520 γρ.,520.0,20800.0
1904,Miscellaneous Subjects,MIGNE M. L'Abbé,Τὸ αὐτὸ δεδεμένον εἰς 6 τόμ.,520 γρ.,520.0,20800.0
1904,Dictionaries,ΣΙΝΑ Μ. Γ. καὶ ΛΕΒΑΔΕΩΣ Ι. Ν.,Δεξικὸν Γαλλo-ελληνικόν,472 γρ.,472.0,18880.0
1904,Miscellaneous Subjects,MIGNE M. L'Abbé,"Dictionnaire des Persécutions, Τόμοι 6, 4ον, σελ. 5794 + 400",400 γρ.,400.0,16000.0
1895,Dictionaries,Ἄνθιμος Γαζῆς,"Λεξικὸν τῆς ἑλληνικῆς γλώσσης, τρίτομον",400 γρ.,400.0,16000.0
1904,Various Subjects,ΜΠΑΡΤ ΚΑΙ ΧΙΡΕΤ,"Λεξικὸν Ἐγκυκλοπαιδικόν, μετὰ πολλῶν εἰκόνων καὶ πινάκων",400 γρ.,400.0,16000.0
1904,Miscellaneous Subjects,ΜΠΕΚ καὶ ΜΠΑΡΤ,"Λεξικὸν Ἐγκυκλοπαιδικόν, συμπλήρωμα, 4ον, σελίδες",400 γρ.,400.0,16000.0
1904,Philology,ΠΟΛΙΤΟΥ ΕΡΜ. ΦΡ.,"Θουκυδίδειος περὶ τοῦ Πελοποννησιακοῦ πολέμου, βιβλία ὀκτώ, μετὰ προλεγομένων καὶ σημειώσεων λατινιστί, Τόμοι ΙΙ",300 γρ.,300.0,12000.0
1904,E' Miscellaneous School Equipment,,"Ὑδρόγειος Σφαῖρα, Ἀρ. 1 (1 μ. περιφέρειαν μὲ μεταλλίνην βάσιν)",250 γρ.,250.0,10000.0
1904,Geographical Maps,,"Εἰκόνες τῆς Παλαιᾶς καὶ τῆς Νέας Διαθήκης, Πίνακες 50+25, ἐκδ. Hachette ++",240 γρ.,240.0,9600.0
1895,Dictionaries,Ἀ. Ἀ. Σακελλαρίου,Λεξικὸν τῆς ἑλληνικῆς γλώσσης,220 γρ.,220.0,8800.0
1904,Medical,ΚΑΤΣΑΡΑ Μ. Κ.,Παθολογία τῶν νεύρων καὶ ψυχιατρική,220 γρ.,220.0,8800.0
1895,"IV. Texts, Scholia, Paraphrases, Interpretations of Greek and Latin Authors - A. Greek Authors",Ὅμηρος,"Ἰλιάς, παραφρασθεῖσα καὶ ὁμοιοκαταλήκτως στιχουργηθεῖσα μεθ' ὑποσημειώσεων κτλ. καὶ χαλκογραφικῶν εἰκόνων παρὰ Γεωργίου Ῥουσιάδου",220 γρ.,220.0,8800.0
1904,Medical,ΚΑΛΛΙΟΝΤΖΗ ΕΥΑΓΓ.,Ἐγχειρητικὴ,216 γρ.,216.0,8640.0
1904,Greek,ΣΝΕΛΛΑΡΙΟΥ Α. Δ.,Λεξικὸν τῆς Ἑλληνικῆς Γλώσσης,200 γρ.,200.0,8000.0
1904,Miscellaneous Subjects,ΘΕΟΦΑΡΗ ΣΤ.,"Λεξικὸν Ἐμπορίου, περιλαμβάνον Ἐμπορικόν ἐν γένει καὶ Ἐμπορικόν Δίκαιον, Ἐμπορικὴν Ναυτιλίαν, Ναυτικὸν Δίκαιον, Τελωνειακὴν Νομοθεσίαν, Δασμολόγιον, Ἐμπορικὴν Γεωγραφίαν, Μετρολογίαν, Νομισματολογίαν, Συγκοινωνίαν Παγκόσμιον, Γραφεῖας, Χρηματιστήριον, Λογιστικὴν καὶ Πολιτικὴν Οἰκονομίαν ἐφηρμοσμένην εἰς τὸ ἐμπόριον κτλ., 8ον, σ. 784 + 33",200 γρ.,200.0,8000.0
1904,Various Subjects,ΚΑΡΟΥΦΑΛΗ Γ.,"Λεξικὸν Ἰατρικῆς, Χειρουργικῆς, Φαρμακολογίας, Θεραπευτικῆς καὶ τῶν συναφῶν αὐταῖς ἐπιστημῶν, μετὰ πλείστων εἰκόνων καὶ συνταγῶν ἐν τῷ κειμένῳ",200 γρ.,200.0,8000.0
1904,Miscellaneous Subjects,ΚΑΡΥΟΦΥΛΛΗ Γ.,"Λεξικὸν Ἰατρικῆς, Χειρουργικῆς, Φαρμακολογίας, Θεραπευτικῆς καὶ τῶν συναφῶν ἐπιστημῶν, μέγα 8ον, Τόμοι 2, 4ον, σελίδες ἠ'-1930",200 γρ.,200.0,8000.0
1904,Greek,"LIDDELL AND SCOTT, ANESTH ΚΩΝΣΤΑΝΤΙΝΙΔΟΥ",Μέγα Λεξικὸν τῆς Ἑλληνικῆς Γλώσσης,200 γρ.,200.0,8000.0
1904,"Novels, short stories",,Ἐκλεκτὰ Μυθιστορήματα,200 γρ.,200.0,8000.0
1895,"IV. Texts, Scholia, Paraphrases, Interpretations of Greek and Latin Authors - A. Greek Authors",Θουκυδίδης,"Περὶ τοῦ Πελοποννησιακοῦ πολέμου βιβλία ὀκτώ, μεταφρασθέντα καὶ σχολιασθέντα παρὰ Νεοφύτου Δούκα",190 γρ.,190.0,7600.0
1904,Medical Books,STRÜMPEL A.,"Εἰδικὴ Νοσολογία καὶ Θεραπευτική, ἐξελληνισθεῖσα ὑπὸ Ἀ. Κυριακοῦ, Ἀ. Χριστομάνου, Λ. Κόκορη καὶ Κ. Μέρμηγκα",180 γρ.,180.0,7200.0
1895,Dictionaries,Μ. Γ. Σχινα καὶ Ἰ. Ν. Λεβαδέως,Λεξικὸν γαλλο-ἑλληνικόν,180 γρ.,180.0,7200.0
1904,Geographical Maps,Ἀνέστη Κωνσταντινίδου,"Εἰκόνες Παλαιᾶς καὶ Καινῆς Διαθήκης, Πίνακες 27+20 μέγεθος 51X37, ἐκδ. Εἰκόνες Ἀνέστη Κωνσταντινίδου ++",175 γρ.,175.0,7000.0
1904,Educational and School Instruments,,᾿Ανατομικὴ τοῦ ᾿Ανθρώπου (4 πίνακες ὁμοῦ),175 γρ.,175.0,7000.0
1904,Greek Authors,ΠΛΟΥΤΑΡΧΟΣ,Ἠθικά (Ὑπὸ Γρ. Ν. Βερναρδάκη),170 γρ.,170.0,6800.0
1904,Gifts and Prizes,ΓΑΒΡΙΗΛΙΔΟΥ ΒΛ.,"Ἡ Ἑλλὰς κατὰ τοὺς Ὀλυμπιακοὺς ἀγῶνας τοῦ 1896, πανελλήνιον εἰκονογραφημένον λεύκωμα",170 γρ.,170.0,6800.0
1904,Educational and School Instruments,ΑΡΑΠΗ Σ. Α.,Εἰκόνες Πραγματογνωσίας (14 πίνακες),165 γρ.,165.0,6600.0
1904,Educational and School Instruments,,"᾿Αστρονομικὸν Διάγραμμα, ἐκ τοῦ ἀγγλικοῦ, 41 Χ 12, Πίνακες 53",165 γρ.,165.0,6600.0
1904,Latin Authors,CICERO,Scripta Omnia. Τόμ. 11,162 γρ.,162.0,6480.0
