catalog_year,source_file,main_category,main_category_english,subcategory_or_series,author,author_transcribed,title,title_english,pages_format,price,currency,notes
1904,IMG_1363.jpeg,ΠΙΝΑΞ ΤΩΝ ΠΕΡΙΕΧΟΜΕΝΩΝ,Table of Contents,,,,Δήλωσις,Notice,Σελ. γ',,,
1904,IMG_1363.jpeg,"Β' Γυμνάσια, Διδασκαλεῖα καὶ Παρθεναγωγεῖα","B' High Schools, Normal Schools and Girls' High Schools",ΙΑ' Φιλοσοφία,,,ΙΑ' Φιλοσοφία,K' Philosophy,Σελ. 32,,,
1904,IMG_1363.jpeg,"Β' Γυμνάσια, Διδασκαλεῖα καὶ Παρθεναγωγεῖα","B' High Schools, Normal Schools and Girls' High Schools",Ι' Φυσικὴ καὶ Μαθηματικὴ Γεωγραφία,,,Ι' Φυσικὴ καὶ Μαθηματικὴ Γεωγραφία,J' Physical and Mathematical Geography,Σελ. 32,,,
1904,IMG_1363.jpeg,"Β' Γυμνάσια, Διδασκαλεῖα καὶ Παρθεναγωγεῖα","B' High Schools, Normal Schools and Girls' High Schools",Θ' Χημεία,,,Θ' Χημεία,I' Chemistry,Σελ. 31,,,
1904,IMG_1363.jpeg,"Β' Γυμνάσια, Διδασκαλεῖα καὶ Παρθεναγωγεῖα","B' High Schools, Normal Schools and Girls' High Schools",Η' Φυσικὴ Πειραματική,,,Η' Φυσικὴ Πειραματική,H' Experimental Physics,Σελ. 31,,,
1904,IMG_1363.jpeg,"Β' Γυμνάσια, Διδασκαλεῖα καὶ Παρθεναγωγεῖα","B' High Schools, Normal Schools and Girls' High Schools",Ζ' Φυσικὴ Ἱστορία,,,Ζ' Φυσικὴ Ἱστορία,G' Natural History,Σελ. 30,,,
1904,IMG_1363.jpeg,"Β' Γυμνάσια, Διδασκαλεῖα καὶ Παρθεναγωγεῖα","B' High Schools, Normal Schools and Girls' High Schools",Ε' Ἀρχαιολογία,,,Ε' Ἀρχαιολογία,E' Archaeology,Σελ. 29,,,
1904,IMG_1363.jpeg,"Β' Γυμνάσια, Διδασκαλεῖα καὶ Παρθεναγωγεῖα","B' High Schools, Normal Schools and Girls' High Schools",Δ' Μυθολογία,,,Δ' Μυθολογία,D' Mythology,Σελ. 29,,,
1904,IMG_1363.jpeg,"Β' Γυμνάσια, Διδασκαλεῖα καὶ Παρθεναγωγεῖα","B' High Schools, Normal Schools and Girls' High Schools",Γ' Ἱστορία,,,Γ' Ἱστορία,C' History,Σελ. 28,,,
1904,IMG_1363.jpeg,"Β' Γυμνάσια, Διδασκαλεῖα καὶ Παρθεναγωγεῖα","B' High Schools, Normal Schools and Girls' High Schools",Β' Ἑλληνικὴ γλῶσσα,,,"Β' Ἑλληνικὴ γλῶσσα (Ἐκλογαὶ ἀρχαίων συγγραφέων, Γραμματικαὶ καὶ Συντακτικά, Ῥητορικαί, Γραμματολογία, Ἐκθέσεις, Θεματογραφίαι)","B' Greek Language (Ancient Author Selections, Grammars & Syntax, Rhetoric, Literature History, Essays, Theme Writing)",Σελ. 27-28,,,
