catalog_year,source_file,main_category,main_category_english,subcategory_or_series,author,author_transcribed,title,title_english,pages_format,price,currency,notes
1904,IMG_1442.jpeg,Ἰατρικά,Medical Books,,N/A,N/A,...βάντος τραυματιζομένους,...injured persons (continuation from previous page),"8ον, σελίδες 14 +",2.—,Δρχ.,"Incomplete title, continued from previous page"
1904,IMG_1442.jpeg,Ἰατρικά,Medical Books,,ΦΙΛΛΩ,Phillo,"Πρακτικὸν ἐγχειρίδιον περὶ ἀφροδισιακῶν νόσων (γαλλικῶν νοσημάτων) βλεννορραγίας καὶ συφιλίτιδος, μετάφρασις Γ. Πολυχρονιάδου","Practical manual on venereal diseases (French diseases) gonorrhea and syphilis, translation by G. Polychroniadou","32ον, σελίδες 128 +",5.—,Δρχ.,
1904,IMG_1442.jpeg,Ἰατρικά,Medical Books,,ΦΙΝΓΓΕΡ Ε.,Finger E.,"Ἡ σύφιλις καὶ τὰ ἀφροδίσια νοσήματα, ἐξελληνισθὲν ὑπὸ Χρ. Γ. Ῥάλλη, μετὰ πινάκων","Syphilis and venereal diseases, translated into Greek by Chr. G. Rallis, with plates","8ον, σελίδες 358 +",60.—,Δρχ.,
1904,IMG_1442.jpeg,Ἰατρικά,Medical Books,,ΦΛΩΡΑ Θ. Χ.,Flora Th. Ch.,Τὸ βιβλίον τῆς ὑγείας,The book of health,σελίδες 144 +,4.—,Δρχ.,
1904,IMG_1442.jpeg,Ἰατρικά,Medical Books,,ΦΟΥΣΤΑΝΟΥ Ι. Α.,Foustanos I. A.,"Ὑπνωτισμὸς ἢ ζωικὸς μαγνητισμός, μετὰ παραρτήματος περὶ μαγείας καὶ πνευματισμοῦ","Hypnotism or animal magnetism, with an appendix on magic and spiritualism","8ον, σελίδες 122 +",10.—,Δρχ.,
1904,IMG_1442.jpeg,Ἰατρικά,Medical Books,,ΦΟΥΣΤΑΝΟΥ Ι. Α.,Foustanos I. A.,Θεραπευτικὸς Ὁδηγὸς τῶν νέων καὶ νεωτάτων φαρμάκων,Therapeutic Guide to new and newest medicines,"8ον, σελίδες 342 +",20.—,Δρχ.,
1904,IMG_1442.jpeg,Ἰατρικά,Medical Books,,ΦΩΚΑ ΓΕΡΑΣΙΜΟΥ,Phokas Gerasimos,Ἡ Γρίπη (Influenza) παρ' Ἱπποκράτει,Flu (Influenza) according to Hippocrates,"8ον, σ. η'-50 +",6.—,Δρχ.,
1904,IMG_1442.jpeg,Ἰατρικά,Medical Books,,ΦΩΤΙΑΔΟΥ Φ. Δ.,Photiades Ph. D.,"Ἀνακοινώσεις περὶ νοσημάτων τῆς ῥινός, τοῦ φάρυγγος καὶ τοῦ λάρυγγος","Announcements on diseases of the nose, pharynx, and larynx","8ον, σελ. 55 X ..",20.—,Δρχ.,
1904,IMG_1442.jpeg,Ἰατρικά,Medical Books,,ΧΑΡΑΜΗ Λ. Ι.,Charamis L. I.,"Ἡ ἀληθὴς θεραπεία τῆς ψαμμιάσεως ἢ τὰ μέσα, δι' ὧν προλαμβάνεται αὕτη, καθὼς καὶ ὁ σχηματισμὸς τῶν λίθων ἐν τῇ κύστει","The true treatment of gravel (psammiasis) or the means by which it is prevented, as well as the formation of stones in the bladder","32ον, σελίδες 58 +",4.—,Δρχ.,
1904,IMG_1442.jpeg,Ἰατρικά,Medical Books,,ΧΑΡΜΑΝΤΑ Δ.,Charmantas D.,"Ἀνθρωπογονία, ἤτοι περὶ τῶν αἰτίων τῆς στειρώσεως καὶ ἀνικανότητος καὶ περὶ θεραπείας αὐτῶν","Anthropogony, or on the causes of infertility and impotence and their treatment","8ον, σελίδες 324 ✛",10.—,Δρχ.,
1904,IMG_1442.jpeg,Ἰατρικά,Medical Books,,ΧΡΗΣΤΙΔΟΥ Α.,Christides A.,"Ἀρχαία Ἑλληνικὴ Γυναικειολογία, ἤτοι ἀνατομία, φυσιολογία, νοσολογία καὶ θεραπεία τῶν γυναικείων γεννητικῶν ὀργάνων","Ancient Greek Gynecology, or anatomy, physiology, nosology, and treatment of female reproductive organs","8ον, σ. 224 ✛",20.—,Δρχ.,
1904,IMG_1442.jpeg,Ἰατρικά,Medical Books,,ΧΡΗΣΤΙΔΟΥ Α.,Christides A.,"Ἡ Λεχώ, ἤτοι πῶς πρέπει νὰ περιποιώμεθα καὶ προφυλάσσωμεν τὰς λεχωίδας καὶ τὰ νεογνά","The Puerperal Woman, or how we ought to care for and protect post-partum women and newborns",σελίδες 56 X,5.—,Δρχ.,
1904,IMG_1442.jpeg,Ἰατρικά,Medical Books,,ΧΡΗΣΤΟΒΙΤΣ Α. Δ.,Christovits A. D.,Τιτθεία ἢ Θήλασις καὶ διατροφὴ τῶν βρεφῶν,Wet-nursing or Breastfeeding and infant nutrition,"8ον, σελίδες 48 X",5.—,Δρχ.,
1904,IMG_1443.jpeg,Ἰατρικά,Medical Books,,RUNGE MAX Dr,Runge Max Dr,"Μαιευτική, μετά 112 εἰκόνων, μετάφρασις Κ. Δ. Χατζίσκου","Obstetrics, with 112 images, translation by K. D. Chatziskos","μέγα 8ον, σελίδες ιε΄-629",30,drachmas,
1904,IMG_1443.jpeg,Ἰατρικά,Medical Books,,ΣΑΚΟΡΡΑΦΟΥ Μ.,Sakorrafos M.,"Ἐπιτομὴ Γενικῆς Παθολογίας, ἤτοι περὶ τῶν αἰτιῶν ἀνατομικῶν ἀλλοιώσεων, σημειωτικῆς καὶ θεραπευτικῆς τῶν νόσων ἐν γένει","Epitome of General Pathology, or on the causes of anatomical alterations, semiotics and therapeutics of diseases in general","τόμοι 2, 8ον, σελίδες ϛ΄-879",80,drachmas,
1904,IMG_1443.jpeg,Ἰατρικά,Medical Books,,ΣΕΜΜΟΛΑ Μ.,Semmola M.,"Ἰατρικὴ παλαιὰ καὶ νέα, μετάφρασις Ἀ. Ἑ. Δάλλα","Old and New Medicine, translation by A. E. Dallas","μέγα 8ον, σελίδες 62",10,drachmas,
1904,IMG_1443.jpeg,Ἰατρικά,Medical Books,,ΣΙΜΟΥ Α.,Simos A.,Χολέρα,Cholera,"8ον, σ. 159",20,drachmas,
1904,IMG_1443.jpeg,Ἰατρικά,Medical Books,,ΣΙΜΩΝΟΣ ΓΟΥΣΤΑΥΟΥ,Simon Gustave,Ἡ τέχνη τοῦ ζῆν,The Art of Living,σελίδες 399,7,drachmas,
1904,IMG_1443.jpeg,Ἰατρικά,Medical Books,,STRÜMPEL A.,Strümpell A.,"Εἰδικὴ Νοσολογία καὶ Θεραπευτική, ἐξελληνισθεῖσα ὑπὸ Ἀ. Κυριακοῦ, Ἀ. Χριστομάνου, Λ. Κόκορη καὶ Κ. Μέρμηγκα","Special Pathology and Therapeutics, translated into Greek by A. Kyriakos, A. Christomanos, L. Kokoris and K. Mermingas","Τόμοι 3, μέγα 8ον, σελίδες 2064",180,drachmas,
1904,IMG_1443.jpeg,Ἰατρικά,Medical Books,,STRÜMPEL A.,Strümpell A.,"Ὀξεῖαι λοιμώδεις νόσοι, κατὰ μετάφρασιν Ἀ. Καλλιβωκᾶ","Acute Infectious Diseases, translated by A. Kallivokas","8ον, σ. 222",15,drachmas,
1904,IMG_1443.jpeg,Ἰατρικά,Medical Books,,ΤΑΣΟΥΛΗ Δ. Γ.,Tasoulis D. G.,Πραγματεία περὶ ἐπιζωοτιῶν,Treatise on Epizootics,"8ον, σελ. 109",10,drachmas,
1904,IMG_1443.jpeg,Ἰατρικά,Medical Books,,TILLAUX P.,Tillaux P.,"Κλινικὴ χειρουργικὴ Παθολογία, ἐξελληνισθεῖσα ὑπὸ Ἀ. Καλλιβωκᾶ, μετ' εἰκόνων","Clinical Surgical Pathology, translated into Greek by A. Kallivokas, with images","Τόμοι 2, σελίδες 1500",120,drachmas,
1904,IMG_1443.jpeg,Ἰατρικά,Medical Books,,ΤΡΑΜΠΑΔΩΡΟΥ Α. Γ.,Trampadoros A. G.,Κίνδυνος καὶ προφύλαξις ἐκ τῶν ἀφροδισίων παθῶν,Danger and Prevention of Venereal Diseases,"32ον, σελίδες 69",3,drachmas,
1904,IMG_1443.jpeg,Ἰατρικά,Medical Books,,ΤΡΙΑΝΤΗ Α. Π.,Triantis A. P.,"Ἐγχειρίδιον Μαιευτικῆς, μετὰ 40 εἰκόνων","Handbook of Obstetrics, with 40 images","8ον, σελ. 395",45,drachmas,
