main_category_english,clean_subcategory,count
10. Ecclesiastical,Α΄ Εκδοσεις Κων/Πολεως Α΄ Οικουμενικου Πατριαρχειου,14
10. Ecclesiastical,Β΄ Εκδοσεις Διαφορων,1
10. Gospel Interpretations,General / Uncategorized,3
10. Physical and Mathematical Geography,General / Uncategorized,15
11. MUSIC,Α΄ Μουσικα Της Εκκλησιας,19
11. Philosophy,General / Uncategorized,18
14. Philology / Literature,General / Uncategorized,28
"15th Historical, Mythological, Archaeological",General / Uncategorized,50
"15th Historical, Mythological, Archaeological",Βιβλιοθήκη Βιογραφικὴ Καὶ Ἱστορική,1
2. Greek Language,Α΄ Αλφαβηταρια,5
3. Geography of the Holy Land,General / Uncategorized,3
3. Pedagogy,Α΄ Οδηγητικα Νηπιαγωγων,11
3. Pedagogy,Β΄ Παιδαγωγικα,7
4. Mythology,General / Uncategorized,3
5. Ecclesiastical History,General / Uncategorized,6
5. Mathematics,Α΄ Αριθμητικαι,39
6. Classical Greek and Latin Authors,Α' Ελληνες,20
7. Introductions to Holy Scripture,General / Uncategorized,1
7. Russian,General / Uncategorized,5
8. Christian Teachings,General / Uncategorized,3
8. Turkish,General / Uncategorized,21
8. Turkish,Καβάδι Σελαμέ,4
9. Christian Ethics,General / Uncategorized,2
9. Gifts and Prizes for Children and Teenagers,General / Uncategorized,21
9. Gifts and Prizes for Children and Teenagers,— Παραμύθια Μετὰ Κεχρωματισμένων Εἰκόνων,20
9. Gifts and Prizes for Children and Teenagers,Παιδικὴ Βιβλιοθήκη Τοῦ Συλλόγου Πρὸς Διάδοσιν Τῶν Ὠφελίμων Βιβλίων Ἀρ,2
"A' Primary & Secondary Schools (Kindergartens, Elementary Schools, Hellenic Schools, Girls' Schools)",Α' Θρησκεία,1
"A' Primary & Secondary Schools (Kindergartens, Elementary Schools, Hellenic Schools, Girls' Schools)",Β' Ἑλληνικὴ Γλῶσσα,1
"A' Primary & Secondary Schools (Kindergartens, Elementary Schools, Hellenic Schools, Girls' Schools)",Γ' Ἱστορία,1
"A' Primary & Secondary Schools (Kindergartens, Elementary Schools, Hellenic Schools, Girls' Schools)",Δ' Μυθολογία,1
"A' Primary & Secondary Schools (Kindergartens, Elementary Schools, Hellenic Schools, Girls' Schools)",Ε' Μαθηματικά,1
"A' Primary & Secondary Schools (Kindergartens, Elementary Schools, Hellenic Schools, Girls' Schools)",Ζ' Γεωγραφία,1
"A' Primary & Secondary Schools (Kindergartens, Elementary Schools, Hellenic Schools, Girls' Schools)",Η' Κοσμογραφία,1
"A' Primary & Secondary Schools (Kindergartens, Elementary Schools, Hellenic Schools, Girls' Schools)",Θ' Καλλιγραφία,1
"A' Primary & Secondary Schools (Kindergartens, Elementary Schools, Hellenic Schools, Girls' Schools)",Ι' Ἰχνογραφία,1
"A' Primary & Secondary Schools (Kindergartens, Elementary Schools, Hellenic Schools, Girls' Schools)",Ια' Μουσική,1
"A' Primary & Secondary Schools (Kindergartens, Elementary Schools, Hellenic Schools, Girls' Schools)",Ιβ' Οἰκιακὴ Οἰκονομία,1
"A' Primary & Secondary Schools (Kindergartens, Elementary Schools, Hellenic Schools, Girls' Schools)",Ϛ' Φυσιογνωσία,1
"Agricultural, Industrial, Technical",General / Uncategorized,22
Arithmetic,General / Uncategorized,23
Arithmetic,Β' Προβληματολογια,5
Atlases and Geographical Maps,Α΄ Ατλαντες Γεωγραφικοι,6
Atlases and Geographical Maps,Β΄ Χαρται Γεωγραφικοι,6
Atlases and Geographical Maps,Γ΄ Χαρται Ι Δ Νεραντζη,6
Atlases and Geographical Maps,Δ΄ Χαρται Ανεστη Κωνσταντινιδου,1
B' Anthropology,General / Uncategorized,13
"B' High Schools, Normal Schools and Girls' High Schools",Α' Θρησκεία,1
"B' High Schools, Normal Schools and Girls' High Schools",Β' Ἑλληνικὴ Γλῶσσα,1
"B' High Schools, Normal Schools and Girls' High Schools",Γ' Ἱστορία,1
"B' High Schools, Normal Schools and Girls' High Schools",Δ' Μυθολογία,1
"B' High Schools, Normal Schools and Girls' High Schools",Ε' Ἀρχαιολογία,1
"B' High Schools, Normal Schools and Girls' High Schools",Ζ' Φυσικὴ Ἱστορία,1
"B' High Schools, Normal Schools and Girls' High Schools",Η' Φυσικὴ Πειραματική,1
"B' High Schools, Normal Schools and Girls' High Schools",Θ' Χημεία,1
"B' High Schools, Normal Schools and Girls' High Schools",Ι' Φυσικὴ Καὶ Μαθηματικὴ Γεωγραφία,1
"B' High Schools, Normal Schools and Girls' High Schools",Ια' Φιλοσοφία,1
"B' High Schools, Normal Schools and Girls' High Schools",Ϛ' Μαθηματικά,1
Bookstore / Books,General / Uncategorized,19
Bookstores,General / Uncategorized,35
C' Experimental Physics,General / Uncategorized,10
C' Geographical Atlases,General / Uncategorized,17
Calligraphy,General / Uncategorized,17
Chemistry,General / Uncategorized,5
Church Music,General / Uncategorized,30
Classic Greek and Latin Authors,Α΄ Ελληνες,20
Classical Greek and Latin Authors,Α΄ Ελληνες ) Τῆς Ἐν Λειψίᾳ Ἐκδόσεως B G Teubner,128
Classical Greek and Latin Authors,) Τῆς Ἐν Παρισίοις Ἐκδόσεως Hachette (Μετὰ Δύο Γαλλικῶν Μεταφράσεων),34
Commerce,General / Uncategorized,18
Commercial / Commerce,General / Uncategorized,53
Compositions,General / Uncategorized,10
Cosmography,General / Uncategorized,8
D' Chemistry,General / Uncategorized,2
D' Geographical Maps,General / Uncategorized,2
Date indicators / Calendars,General / Uncategorized,1
Delasta-Sfyra-Gerardou,General / Uncategorized,18
Dictionaries,Ϛ΄,38
Dictionaries,Δεξικὰ Γαλλικά,37
Dictionaries,Α΄ Αγγλικα,30
Dictionaries,General / Uncategorized,24
Dictionaries,Β΄ Γαλλικα,4
Double-entry Bookkeeping,Δ' Διπλογραφια,4
Drawing,General / Uncategorized,8
E' Classical Greek and Latin Authors (Texts),Β΄ Τηι Εν Λειψιαι Στερεοτ Εκδοσεως Β G Teubner,17
E' Classical Greek and Latin Authors (Texts),Α΄ Ημετεραι Σχολικαι Εκδοσεις,10
E' Miscellaneous School Equipment,Χάρται,7
E' Miscellaneous School Equipment,Ὑδρόγειοι Σφαῖραι,4
E' Miscellaneous School Equipment,General / Uncategorized,1
E' Miscellaneous School Equipment,Σχήματα Στερεομετρίας,1
Ecclesiastical Books of Venice,General / Uncategorized,18
Ecclesiastical of Greece,General / Uncategorized,30
Educational and School Instruments,Β΄ Πινακες Και Εικονες,5
Educational and School Instruments,Β΄ Πινακες Και Εικονες / Χρωματισται,4
Educational and School Instruments,Α΄ Υλικον Νηπιαγωγειων,3
Errata,General / Uncategorized,21
Experimental Physics,General / Uncategorized,8
French,General / Uncategorized,260
French,Cours De Grammaire Française,8
French,Exercices Français,7
French,Méthode Lexicologie De Lecture,5
French,Recueil De Dictées,4
French,Cours Théorique Et Pratique De Littérature,3
French,Lectures Enfantines,3
French Books,General / Uncategorized,77
Geographical Maps,General / Uncategorized,19
"Geographical, Astronomical",General / Uncategorized,17
Geography,General / Uncategorized,28
Geography,Γ Γεωγραφία Στοιχειώδης,6
"Geography, Astronomy",General / Uncategorized,25
Geometry,Γ' Γεωμετρια,13
German,General / Uncategorized,32
Gifts and Awards,General / Uncategorized,52
Gifts and Awards,Χρυσόδετα Βιβλία,6
Gifts and Prizes,General / Uncategorized,59
Gifts and Prizes,Παιδικὴ Βιβλιοθήκη Τοῦ Συλλόγου Πρὸς Διάδοσιν Τῶν Ὠφελίμων Βιβλίων Ἀρ,1
Greek,General / Uncategorized,21
Greek Authors,General / Uncategorized,186
Greek Authors,Γ' Της Εν Λειψιαι Στερεοτ Εκδοσεως Tauchnitz,24
Greek Authors,Γ' Εκδοσεις Διαφοροι,19
Greek Authors,Ε' Εκδοσεις Μπαρτ,18
Greek Authors,Δ' Εκδοσεις Ευαγγελου Κοφινιωτου,14
Greek Authors,Β' Της Εν Παρισιοις Εκδοσεως Hachette,10
Greek Authors,Αριστοτελης,8
Greek Authors,Τραγῳδίαι Μετά Σχολίων Ὑπό Γ Μιστριώτου,7
Greek Authors,Δράματα,5
Greek Authors,Τραγῳδίαι Ἐσχολιασμέναι Καί Ἑρμηνευμέναι Ὑπό Α Σ Κεραμέως,3
Greek Authors,Ἀπάνθισμα Τῶν Ἑλληνικῶν Γραμματιῶν,3
Greek Authors,Γ΄ Εκδοσεις Boissonade,2
Greek Authors,Δεπαστα Σφυρα Γεραρδου,2
Greek Authors,Πλατωνος Διαλογοι,2
Greek Authors,Ζουγράφειος Ἑλληνική Βιβλιοθήκη,1
Greek Authors,Συγγραφεῖς Ἑλληνικῆς Βιβλιοθήκης,1
Greek Ecclesiastical Books,General / Uncategorized,21
Greek Ecclesiastical Books,Γ΄ Εκδοσεις Ελλαδος,20
Greek Language,General / Uncategorized,118
Greek Language,Δ΄ Γραμματικαι,43
Greek Language,Β΄ Γραμματικαι Και Συντακτικα,19
Greek Language,Β΄ Αναγνωσματαρια,12
Greek Language,Α΄ Αλφαβηταρια,9
Greek Language,Α΄ Εκλογαι Αρχαιων Συγγραφεων,9
Greek Language,Γ΄ Εκλογαι Αρχαιων Συγγραφεων,9
Greek Language,Σειρὰ Ἐγκυκλίων Μαθημάτων,4
Greek Language,Εγκύκλιον Ελληνικών Μαθημάτων Σειρά,2
Greek Language,Βιβλιοθήκη Παιδική,1
"Hellenic Schools, Girls' High Schools and Gymnasiums",General / Uncategorized,225
"Hellenic Schools, Girls' High Schools and Gymnasiums",Ἀπάνθισμα,2
"Historical, Mythological etc.",General / Uncategorized,31
"Historical, Mythological, etc.",General / Uncategorized,88
History,Β΄ Ελληνικαι Ιστοριαι,15
History,Γ΄ Ιστοριαι Ρωμαϊκαι,5
History,Ε΄ Ιστοριαι Οθωμανικαι,3
History,Α΄ Ιστοριαι Ανατολικων Εθνων,2
History,Δ΄ Ιστοριαι Βυζαντιναι,1
History of Literature,General / Uncategorized,12
"Home Economics, Handicrafts",Πρὸς Χρῆσιν Μόνον Τῶν Παρθεναγωγείων,12
Hymnology / Music,General / Uncategorized,5
III. History,General / Uncategorized,19
III. History,Τόμος Α΄,2
III. History,Τόμος Β΄,2
III. History,Βιβλίον Α΄,1
III. History,Βιβλίον Α΄ Μέρος Α΄,1
III. History,Τεῦχος Β΄,1
III. History,Τεῦχος Γ΄,1
III. History,Τεῦχος Δ΄,1
III. History,Τόμος Γ΄,1
III. Pedagogics,General / Uncategorized,1
"III. Rhetoric, Literature, Essays, Theme Writing",General / Uncategorized,2
"III. Rhetoric, Literature, Essays, Theme Writing",Μέρος Α΄,1
"III. Rhetoric, Literature, Essays, Theme Writing",Μέρος Β΄,1
IV. Mathematics. Natural History,General / Uncategorized,2
IV. Mythology,General / Uncategorized,4
"IV. TEXTS, SCHOLIA, PARAPHRASES, INTERPRETATIONS OF GREEK AND LATIN AUTHORS - B. LATIN AUTHORS",General / Uncategorized,17
IV. Teaching Materials and School Instruments,General / Uncategorized,1
"IV. Texts, Scholia, Paraphrases, Interpretations of Greek and Latin Authors - A. Greek Authors",General / Uncategorized,100
"IV. Texts, Scholia, Paraphrases, Interpretations of Greek and Latin Authors - A. Greek Authors",) Τῆς Ἐν Παρισίοις Ἐκδόσεως Hachette,22
"IV. Texts, Scholia, Paraphrases, Interpretations of Greek and Latin Authors - A. Greek Authors",Συλλογὴ Τῶν Ἑλλήνων Συγγραφέων,2
"IV. Texts, Scholia, Paraphrases, Interpretations of Greek and Latin Authors - B. Latin Authors",General / Uncategorized,18
IX. Gifts and Prizes for Children and Youths,General / Uncategorized,1
Italian,General / Uncategorized,5
"Kindergartens, Primary Schools, Urban Schools and Girls' High Schools",General / Uncategorized,258
Languages,Ζ΄ Τουρκικη,18
Languages,Ϛ΄ Ρωσσικη,7
Latin Authors,General / Uncategorized,155
Latin Authors,) Τῆς Ἐν Λειψίᾳ Ἐκδόσεως B G Teubner,64
Latin Authors,Β' Λατινοι Α' Της Εν Λειψιαι Στερεοτ Εκδοσεως B G Teubner,15
Latin Authors,Β' Τες Εν Παρισιοις Εκδοσεως Hachette,12
Latin Authors,) Τῆς Ἐν Παρισίοις Ἐκδόσεως Hachette,6
Latin Authors,Β΄ Λατινοι,5
Latin Authors,Γ΄ Της Εν Αθηναις Στερεοτ Εκδοσεως Ε Κοφινιωτου,4
Latin Authors,Β΄ Της Εν Λειψιαι Στερεοτ Εκδοσεως Tauchnitz,3
Latin Authors,Β΄ Της Εν Λειψιᾳ Στερεοτ Εκδοσεως Tauchnitz,3
Latin Authors,Δεπαστα Σφυρα Γεραρου,3
Latin Authors,Ciceronis Orationes Selectae,2
Latin Books,General / Uncategorized,9
Legal and Political,General / Uncategorized,19
Legal and Political,Ἑλληνικοὶ Κώδικες,6
"Legal, Political",General / Uncategorized,68
"Legal, Political",Ἑλληνικοὶ Κώδικες,24
Lists of Irregular Verbs,General / Uncategorized,8
Maraslis Library,Δ΄ Βιβλιοθηκη Μαρασλη,72
Mathematics,Α' Θεωρητικη Αριθμητικη,12
Mathematics,Β' Αλγεβρα,8
Mathematics,Γ' Γεωμετρια,7
Mathematics,Δ' Τριγωνομετρια,3
"Mathematics, Natural Sciences",General / Uncategorized,14
"Mathematics, Natural Sciences",Βιβλίον Α' Περὶ Μηχανικῆς,1
"Mathematics, Natural Sciences",Βιβλίον Β' Περὶ Δασολογίας,1
Medical,General / Uncategorized,49
Medical / Medicine,General / Uncategorized,29
Medical Books,General / Uncategorized,62
Medicine,General / Uncategorized,25
Miscellaneous,General / Uncategorized,82
Miscellaneous Subjects,General / Uncategorized,20
Music,General / Uncategorized,15
Natural History,General / Uncategorized,23
Natural History / Nature Study,Α' Φυσικη Ιστοριa,2
Natural History / Physiognomy,General / Uncategorized,32
Nautical / Maritime,General / Uncategorized,20
Novels and Short Stories,General / Uncategorized,33
Novels and Short Stories,Εκλεκτή Βιβλιοθήκη,1
"Novels, short stories",General / Uncategorized,357
"Novels, short stories",Μικρὰ Μυθιστορήματα Ἔκδοσις Βαλ Γαβριηλίδου,44
"Novels, short stories",Bibliothèque Pour Rire,1
"Novels, short stories",Ἐκλεκτὴ Βιβλιοθήκη,1
Object Lessons,General / Uncategorized,2
Orthography and Parsing Works,General / Uncategorized,9
Other Printed Materials for General School Use,General / Uncategorized,8
Pedagogics,General / Uncategorized,32
Pedagogics,Ζ΄,14
Pedagogy,General / Uncategorized,77
Philology,General / Uncategorized,63
Philology / Literature,General / Uncategorized,28
Philosophy,General / Uncategorized,51
Philosophy,Μελέται Ψυχολογικαὶ Ἐπὶ Τοῦ Καλοῦ,2
Poems,General / Uncategorized,101
Poems,Σακελλαριου Βιβλιοθήκη Τοῦ Λαοῦ,5
Publications of Useful Books,—,5
Publications of the Society for the Propagation of Useful Books,—,48
Recitation,General / Uncategorized,3
Religion,General / Uncategorized,72
Religion,Γ' Κατηχησεις,47
Religion,Β΄ Ιεραι Ιστοριαι,8
Religion,Δ' Λειτουργικαι,6
Religion,Α΄ Συλλογαι Τροπαριων Προσευχαι,5
Religion,Δ' Λειτουργικα,5
Religious Books,Βιβλία Τοῦ Λαοῦ,42
Religious Books,Βιβλια Του Λαου,14
Religious Books,Βιβλιοθήκη Χριστιανικὴ Τοῦ Λαοῦ,8
Russian Books,General / Uncategorized,1
ST' Printed School Forms & Materials,General / Uncategorized,9
"Secondary Education, Normal Schools and Girls' Schools",Α΄ Θρησκεια,27
Songbooks / Vocal Music,General / Uncategorized,6
Sourlas-Gerardos Publications,Έλληνες Συγγραφεῖς,28
Spanish,General / Uncategorized,4
Syntax Books,General / Uncategorized,16
Table of Contents,General / Uncategorized,3
"Texts, Scholia, Paraphrases, Interpretations of Greek and Latin Authors - A. Greek Authors",General / Uncategorized,14
Theater,Δράματα Τραγῳδίαι,123
Theater,Κωμῳδίαι,114
Theater,Θεατρικὴ Βιβλιοθήκη,88
